iter	Passed	Remaining
0	65	65716
1	66	33007
2	66	22113
3	67	16686
4	67	13432
5	68	11268
6	68	9698
7	68	8533
8	69	7633
9	69	6908
10	70	6365
11	71	5861
12	71	5445
13	72	5087
14	72	4770
15	73	4493
16	73	4248
17	73	4027
18	74	3836
19	74	3660
20	75	3505
21	75	3362
22	76	3228
23	76	3109
24	76	2998
25	77	2897
26	77	2801
27	78	2710
28	78	2633
29	79	2554
30	79	2482
31	79	2414
32	80	2353
33	80	2292
34	81	2243
35	81	2189
36	82	2142
37	82	2093
38	83	2048
39	83	2003
40	84	1966
41	84	1926
42	84	1888
43	85	1850
44	85	1817
45	86	1784
46	86	1753
47	86	1724
48	87	1694
49	87	1665
50	87	1637
51	88	1610
52	88	1583
53	89	1560
54	89	1536
55	89	1513
56	90	1491
57	90	1471
58	90	1451
59	91	1430
60	91	1411
61	92	1393
62	92	1375
63	92	1358
64	93	1343
65	93	1327
66	94	1313
67	94	1298
68	95	1283
69	95	1271
70	96	1258
71	96	1245
72	97	1232
73	97	1220
74	97	1207
75	98	1195
76	98	1182
77	99	1174
78	99	1162
79	100	1151
80	100	1140
81	101	1130
82	101	1120
83	101	1109
84	102	1100
85	102	1092
86	103	1083
87	103	1075
88	104	1067
89	104	1059
90	105	1050
91	105	1041
92	105	1032
93	106	1024
94	106	1015
95	107	1007
96	117	1096
97	118	1088
98	118	1081
99	119	1073
100	119	1064
101	120	1057
102	121	1059
103	122	1052
104	122	1045
105	123	1037
106	123	1031
107	124	1024
108	124	1018
109	125	1012
110	125	1005
111	126	1000
112	126	994
113	127	989
114	127	983
115	129	983
116	129	977
117	130	972
118	130	966
119	130	960
120	131	955
121	132	950
122	132	944
123	133	940
124	133	937
125	134	932
126	134	927
127	135	922
128	135	917
129	136	912
130	136	907
131	137	902
132	138	904
133	139	899
134	140	898
135	140	894
136	141	892
137	142	888
138	142	884
139	143	879
140	144	879
141	144	874
142	145	869
143	145	864
144	145	860
145	146	855
146	146	852
147	147	847
148	147	843
149	148	838
150	148	834
151	148	830
152	149	826
153	149	822
154	150	817
155	150	814
156	150	810
157	151	806
158	151	802
159	152	799
160	152	794
161	152	791
162	153	787
163	153	783
164	154	780
165	154	776
166	155	773
167	155	769
168	155	766
169	156	763
170	156	760
171	157	758
172	157	755
173	158	751
174	158	748
175	159	745
176	159	742
177	159	738
178	160	735
179	160	732
180	161	729
181	161	726
182	161	723
183	162	720
184	162	716
185	163	713
186	163	710
187	163	707
188	164	704
189	164	701
190	164	698
191	165	695
192	166	695
193	167	694
194	167	691
195	167	688
196	168	686
197	168	683
198	169	680
199	169	678
200	169	675
201	170	673
202	171	672
203	171	669
204	171	666
205	172	664
206	172	662
207	173	659
208	173	657
209	174	655
210	174	654
211	175	652
212	176	650
213	176	648
214	177	646
215	177	644
216	178	642
217	178	641
218	180	642
219	180	640
220	180	637
221	181	635
222	182	634
223	182	632
224	183	631
225	183	629
226	184	627
227	184	625
228	185	622
229	185	620
230	186	619
231	186	618
232	187	617
233	188	615
234	188	613
235	189	612
236	189	610
237	190	609
238	190	607
239	191	605
240	191	604
241	192	602
242	192	600
243	193	598
244	193	597
245	194	595
246	194	593
247	195	592
248	195	590
249	196	588
250	196	587
251	197	585
252	197	583
253	198	581
254	198	580
255	199	578
256	199	577
257	199	575
258	200	573
259	201	572
260	201	571
261	202	571
262	203	569
263	203	567
264	203	565
265	204	563
266	204	561
267	205	560
268	205	558
269	206	557
270	206	555
271	206	553
272	207	552
273	207	550
274	208	548
275	208	547
276	209	545
277	209	544
278	209	542
279	210	540
280	210	539
281	211	537
282	211	536
283	212	534
284	212	533
285	212	531
286	213	530
287	213	528
288	214	527
289	214	525
290	215	523
291	215	522
292	215	520
293	216	519
294	216	518
295	217	517
296	217	515
297	218	514
298	218	513
299	219	512
300	220	511
301	220	509
302	221	508
303	221	507
304	221	505
305	222	504
306	222	502
307	223	501
308	223	500
309	224	498
310	224	497
311	224	495
312	225	494
313	225	492
314	225	491
315	226	490
316	226	488
317	227	487
318	227	486
319	228	485
320	228	483
321	229	482
322	229	481
323	229	479
324	230	478
325	230	476
326	231	475
327	231	473
328	231	472
329	232	471
330	232	469
331	232	468
332	233	467
333	233	465
334	234	464
335	234	463
336	234	462
337	235	460
338	235	459
339	236	458
340	236	457
341	237	456
342	237	454
343	237	453
344	238	452
345	238	451
346	239	449
347	239	448
348	239	447
349	240	445
350	240	444
351	240	443
352	241	442
353	241	441
354	242	440
355	242	438
356	243	437
357	243	436
358	244	435
359	244	434
360	244	433
361	245	432
362	245	431
363	246	430
364	246	428
365	246	427
366	248	427
367	248	426
368	248	425
369	249	424
370	249	423
371	249	421
372	250	420
373	251	420
374	251	419
375	252	418
376	252	417
377	253	416
378	253	415
379	253	414
380	254	413
381	254	412
382	255	411
383	255	409
384	255	408
385	256	407
386	256	406
387	257	405
388	257	404
389	257	403
390	258	402
391	258	401
392	259	400
393	259	399
394	259	398
395	260	398
396	261	397
397	261	396
398	262	394
399	262	393
400	263	393
